Country,GDP Per Capita
Aruba,25630.26649
Afghanistan,556.3021385
Angola,4095.812942
Albania,4532.890162
Andorra,39134.39337
Arab World,6279.467425
United Arab Emirates,39811.6347
Argentina,14591.86338
Armenia,3914.501268
American Samoa,10823.4448
Antigua and Barbuda,15383.41519
Australia,54066.47127
Austria,47431.63061
Azerbaijan,4147.089716
Burundi,292.9976307
Belgium,44219.562
Benin,829.4788028
Burkina Faso,642.4298387
Bangladesh,1563.994082
Bulgaria,8228.01157
Bahrain,23715.48275
"Bahamas, The",31827.2427
Bosnia and Herzegovina,5394.59122
Belarus,5761.74712
Belize,4887.55982
Bermuda,
Bolivia,3351.124053
Brazil,9880.946543
Barbados,17431.60292
Brunei Darussalam,28572.14678
Bhutan,3286.574704
Botswana,7893.210108
Central African Republic,449.7864235
Canada,45069.92725
Central Europe and the Baltics,14183.37555
Switzerland,80450.04582
Channel Islands,
Chile,15037.35028
China,8759.041578
Cote d'Ivoire,1557.182814
Cameroon,1421.587492
"Congo, Dem. Rep.",467.0742375
"Congo, Rep.",1702.571349
Colombia,6375.932063
Comoros,1320.541867
Cabo Verde,3292.645755
Costa Rica,11752.5434
Caribbean small states,9515.00724
Cuba,8541.210673
Curacao,19457.53152
Cayman Islands,81124.51348
Cyprus,25760.7627
Czech Republic,20379.89604
Germany,44240.04411
Djibouti,2930.703172
Dominica,7274.721333
Denmark,57141.05984
Dominican Republic,7609.345492
Algeria,4044.298372
East Asia & Pacific (excluding high income),7084.106732
Early-demographic dividend,3546.853837
East Asia & Pacific,10341.58095
Europe & Central Asia (excluding high income),7995.387853
Europe & Central Asia,23543.06802
Ecuador,6213.501276
"Egypt, Arab Rep.",2440.510173
Euro area,36997.72704
Eritrea,
Spain,28100.85228
Estonia,20337.84973
Ethiopia,768.4250255
European Union,33907.99671
Fragile and conflict affected situations,1673.729008
Finland,46191.93116
Fiji,6101.030839
France,38679.12715
Faroe Islands,
"Micronesia, Fed. Sts.",3289.701223
Gabon,7212.535744
United Kingdom,40361.41738
Georgia,4357.011625
Ghana,2025.885857
Gibraltar,
Guinea,855.5736399
"Gambia, The",679.7773326
Guinea-Bissau,736.7255662
Equatorial Guinea,9738.434224
Greece,18883.46007
Grenada,10163.62985
Greenland,
Guatemala,4470.609994
Guam,35615.80463
Guyana,4586.054572
High income,42375.59253
"Hong Kong SAR, China",46225.78187
Honduras,2449.964691
Heavily indebted poor countries (HIPC),994.8816416
Croatia,13412.34195
Haiti,765.7272943
Hungary,14457.60876
IBRD only,6055.694509
IDA & IBRD total,4863.830232
IDA total,1353.803487
IDA blend,1733.811442
Indonesia,3836.913814
IDA only,1161.538064
Isle of Man,80989.17221
India,1981.268706
Not classified,
Ireland,69649.88274
"Iran, Islamic Rep.",5627.749268
Iraq,5205.288255
Iceland,71314.7742
Israel,40541.86209
Italy,32326.84175
Jamaica,5069.183838
Jordan,4162.820687
Japan,38331.9794
Kazakhstan,9247.581331
Kenya,1568.201541
Kyrgyz Republic,1242.769643
Cambodia,1385.458363
Kiribati,1625.57597
St. Kitts and Nevis,19155.43173
"Korea, Rep.",29742.83886
Kuwait,29759.53245
Latin America & Caribbean (excluding high income),8967.30007
Lao PDR,2423.846203
Lebanon,7838.343385
Liberia,698.7017644
Libya,5756.42314
St. Lucia,10039.67141
Latin America & Caribbean,9407.349371
Least developed countries: UN classification,1106.69439
Low income,789.4631302
Liechtenstein,
Sri Lanka,4104.630983
Lower middle income,2187.467875
Low & middle income,4747.967737
Lesotho,1226.61263
Late-demographic dividend,8947.298874
Lithuania,16840.93857
Luxembourg,107361.3069
Latvia,15548.08231
"Macao SAR, China",81516.67492
St. Martin (French part),
Morocco,3036.171062
Monaco,167101.7594
Moldova,2724.493093
Madagascar,515.292739
Maldives,9540.634349
Middle East & North Africa,7417.768211
Mexico,9278.418168
Marshall Islands,3666.695374
Middle income,5232.162668
North Macedonia,5417.642019
Mali,828.5119764
Malta,27283.54473
Myanmar,1249.828746
Middle East & North Africa (excluding high income),3823.217947
Montenegro,7784.06529
Mongolia,3669.41754
Northern Mariana Islands,28305.22259
Mozambique,461.4150941
Mauritania,1145.547947
Mauritius,10484.90836
Malawi,356.7175732
Malaysia,10254.23402
North America,58434.03088
Namibia,5646.456008
New Caledonia,
Niger,375.8694897
Nigeria,1968.559588
Nicaragua,2168.195206
Netherlands,48554.99228
Norway,75496.75406
Nepal,911.4442665
Nauru,8844.742806
New Zealand,42260.12518
OECD members,38424.37686
Oman,15130.49783
Other small states,13455.36464
Pakistan,1464.993305
Panama,15166.12443
Peru,6710.508029
Philippines,2981.934151
Palau,16078.26819
Papua New Guinea,2695.251883
Poland,13856.98239
Pre-demographic dividend,1472.612856
Puerto Rico,31353.43418
"Korea, Dem. People’s Rep.",
Portugal,21437.3475
Paraguay,5680.580768
West Bank and Gaza,3254.485887
Pacific island small states,4133.25731
Post-demographic dividend,42740.90182
French Polynesia,
Qatar,61264.39648
Romania,10807.68448
Russian Federation,10750.58712
Rwanda,762.9143746
South Asia,1866.937699
Saudi Arabia,20803.74257
Sudan,3015.02443
Senegal,1367.218948
Singapore,60297.79378
Solomon Islands,2059.045427
Sierra Leone,499.3807078
El Salvador,3902.242318
San Marino,48494.55141
Somalia,309.0553548
Serbia,6284.192672
Sub-Saharan Africa (excluding high income),1609.202762
South Sudan,
Sub-Saharan Africa,1610.488184
Small states,12165.44428
Sao Tome and Principe,1811.009633
Suriname,5379.119415
Slovak Republic,17510.08899
Slovenia,23442.70428
Sweden,53744.42903
Eswatini,3953.08897
Sint Maarten (Dutch part),
Seychelles,15683.6565
Syrian Arab Republic,
Turks and Caicos Islands,25933.60744
Chad,664.3033157
East Asia & Pacific (IDA & IBRD countries),7158.689209
Europe & Central Asia (IDA & IBRD countries),8530.402972
Togo,624.5449459
Thailand,6578.188865
Tajikistan,806.0415731
Turkmenistan,6587.090316
Latin America & the Caribbean (IDA & IBRD countries),9261.255285
Timor-Leste,2000.601161
Middle East & North Africa (IDA & IBRD countries),3829.434226
Tonga,4217.476507
South Asia (IDA & IBRD),1866.937699
Sub-Saharan Africa (IDA & IBRD countries),1610.488184
Trinidad and Tobago,16238.19319
Tunisia,3482.186729
Turkey,10513.64842
Tuvalu,3572.608367
Tanzania,1004.841121
Uganda,631.5227198
Ukraine,2640.675677
Upper middle income,8669.94818
Uruguay,16437.24487
United States,59927.92983
Uzbekistan,1826.566919
St. Vincent and the Grenadines,7212.960181
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),35938.02439
Vietnam,2365.621666
Vanuatu,3082.356323
World,10777.61827
Samoa,4258.486292
Kosovo,3948.05267
"Yemen, Rep.",963.494721
South Africa,6132.479841
Zambia,1534.865371
Zimbabwe,1602.403507
